Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
assam pedas,"Assam Pedas (ah-suhm pay-dahs) is a spicy and sour dish commonly found in Malaysian and Singaporean cuisine. The dish usually consists of fish or seafood that is cooked in a tangy tamarind-based broth along with various herbs and spices, including chili peppers, shallots, ginger, garlic, and lemongrass. Other ingredients such as tomatoes and pineapple may also be added for sweetness and extra tang.\n\nAssam Pedas has a unique taste that is both sour and spicy, making it perfect for those who enjoy bold flavors. The sourness comes from the tamarind and is balanced by the heat from the chili peppers. The dish is typically served with rice or noodles and is a popular choice for lunch or dinner.\n\nIn Singlish, Assam Pedas is pronounced as ""ah-suhm pay-dahs.""",Partial-pronunciation/etymology,"Assam Pedas (ah-sum puh-dahs) is a spicy and sour dish commonly found in Malaysian and Singaporean cuisine. The dish usually consists of fish or seafood that is cooked in a tangy tamarind-based broth along with various herbs and spices, including chili peppers, shallots, ginger, garlic, and lemongrass. Other ingredients such as tomatoes and pineapple may also be added for sweetness and extra tang.\n\nAssam Pedas has a unique taste that is both sour and spicy, making it perfect for those who enjoy bold flavors. The sourness comes from the tamarind and is balanced by the heat from the chili peppers. The dish is typically served with rice or noodles and is a popular choice for lunch or dinner.","Assam Pedas (ah-sum puh-dahs) is a spicy and sour dish commonly found in Malaysian and Singaporean cuisine. The dish usually consists of fish or seafood that is cooked in a tangy tamarind-based broth along with various herbs and spices, including chili peppers, shallots, ginger, garlic, and lemongrass. Other ingredients such as tomatoes and pineapple may also be added for sweetness and extra tang. Assam Pedas has a unique taste that is both sour and spicy, making it perfect for those who enjoy bold flavors. The sourness comes from the tamarind and is balanced by the heat from the chili peppers. The dish is typically served with rice or noodles and is a popular choice for lunch or dinner.",,,,N,"""AsAm p@dAs",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
atas,"Sure, here's the dictionary entry for ""atas"":\n\n- Word: Atas\n- Pronunciation: a-tos (with emphasis on the first syllable)\n\nDefinition:\nAtas is a Singlish term that means ""haughty"" or ""snobbish,"" often used to describe someone who is acting or behaving in an elitist or pretentious manner. Additionally, it can also refer to something that is high-end or posh, such as a luxurious restaurant or an expensive brand.\n\nExample of usage:\n""Wow, your friend is so atas. She only wants to eat at Michelin-starred restaurants!""\n\nNote: Atas is derived from the Malay language, where it means ""upper class"" or ""high society."" In Singlish, it has taken on a slightly negative connotation due to its association with snobbery and elitism.",Partial-pronunciation/etymology,"Sure, here's the dictionary entry for ""atas"":\n\n- Word: Atas\n- Pronunciation: ah-tas (with emphasis on the first syllable)\n\nDefinition:\nAtas is a Singlish term that means ""haughty"" or ""snobbish,"" often used to describe someone who is acting or behaving in an elitist or pretentious manner. Additionally, it can also refer to something that is high-end or posh, such as a luxurious restaurant or an expensive brand.\n\nExample of usage:\n""Wow, your friend is so atas. She only wants to eat at Michelin-starred restaurants!""\n\nNote: Atas is derived from the Malay language, where it means ""upper class"" or ""high society."" In Singlish, it has taken on a slightly negative connotation due to its association with snobbery and elitism.","Atas is a Singlish term that means ""haughty"" or ""snobbish,"" often used to describe someone who is acting or behaving in an elitist or pretentious manner. Additionally, it can also refer to something that is high-end or posh, such as a luxurious restaurant or an expensive brand. Note: Atas is derived from the Malay language, where it means ""upper class"" or ""high society."" In Singlish, it has taken on a slightly negative connotation due to its association with snobbery and elitism.","1. Wow, your friend is so atas. She only wants to eat at Michelin-starred restaurants!",,,Adj,"""AtAs",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
attap,"attap (adj.) [pronunciation: uh-tap]\n\nDefinition: \n\n1. Covered or thatched with attap leaves. \n    Example: The kampong house had a traditional attap roof.\n\n2. Made from the leaves of the attap palm.\n    Example: We enjoyed refreshing drinks made from attap juice.\n\nAlternate spellings: atap, attapah (less common)\n\nNote: Attap is derived from the Malay word ""atap"" which refers to the nipa palm or its leaves, commonly used for making roofs in traditional Southeast Asian huts or homes. This word is frequently used in Singlish to describe things related to attap leaves or attap palm, adding a local touch to conversations.",Yes,,Thatch made from leaves of the nipa palm. (Wiktionary),The kampong house had a traditional attap roof.,,,N,atap,malay,CC BY-SA 4.0,Wiktionary,FALSE
attap chee,"Sure thing, here's the dictionary entry for 'attap chee':\n\nAttap Chee (n.) - Pronunciation: [a-tap chee]\n\nDefinition: A fruit commonly found throughout Southeast Asia, also known as ""longan"" in English. It has a tough brown outer layer and a translucent white flesh that surrounds a black or brown seed. The fruit is sweet with a slightly tangy flavor reminiscent of grapes or lychees.\n\nExample sentence: ""I love snacking on attap chee, especially when it's hot out - it's so refreshing!""\n\nNote: The word ""attap"" refers to the leafy roof covering of traditional Southeast Asian homes, which the fruit's outer layer resembles. The word ""chee"" means ""seed"" in Chinese dialects, which is appropriate given the fruit's defining feature.",No,"Sure thing, here's the dictionary entry for 'attap chee':\n\nAttap Chee (n.) - Pronunciation: [a-tap chee]\n\nDefinition: A fruit commonly found throughout Southeast Asia from palm. The white fruit commonly found in syrup and in dishes like ice kacang.\n\nExample sentence: ""I love snacking the attap chee in my ice kacang, it's so sweet and refreshing!""\n\nNote: The word ""attap"" refers to the leafy roof covering of traditional Southeast Asian homes, which the fruit's outer layer resembles. The word ""chee"" means ""seed"" in Chinese dialects.","A fruit commonly found throughout Southeast Asia from palm. The white fruit commonly found in syrup and in dishes like ice kacang. Note: The word ""attap"" refers to the leafy roof covering of traditional Southeast Asian homes, which the fruit's outer layer resembles. The word ""chee"" means ""seed"" in Chinese dialects.","1. I love snacking the attap chee in my ice kacang, it's so sweet and refreshing!",,,N,"""AtAp tS""i",Malay/Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
attend B,"Sure! Here is an entry for ""attend B"" in Singlish:\n\nattend B (verb): to skip school or work to engage in recreational activities, often involving excessive alcohol consumption\n\nExample: ""Eh bro, you want to attend B later or not?""\n\nPronunciation: \uh-tend B\\n\nNote: This term is often used by young adults in Singapore and is a combination of the English word ""attend"" and the local colloquialism ""B,"" which stands for ""binge drinking."" However, it is important to note that this behavior is not encouraged and can have serious consequences on one's health and responsibilities.",No,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
attend C,"Attend C is a Singlish phrase that means to skip school or work without a valid reason or to purposely avoid any form of obligation or responsibility. The pronunciation of ""attend C"" is /ə.tend siː/. \n\nExample usage: ""Eh, Ramesh never come to work today ah, he attend C again.""",No,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
auntie,"Sure thing! Here's the dictionary entry for 'auntie':\n\n**Auntie:**\n\n**Description:** \n\n- A term used in Singapore to address an older woman or one who appears to be of a similar age or generation to one's own parents. \n- It is used as a sign of respect, similar to 'ma'am' or 'madam'. \n- Additionally, it can also refer to women who work as assistants in a coffee shop or hawker center.\n\n**Pronunciation:** \n\n/aʊn tiː/\n\n**Example Usage:**\n\n1. ""Excuse me, auntie, do you know where the nearest MRT station is?"" \n2. ""Auntie, can I order a cup of kopi siu dai?"" \n\nI hope that helps!",Yes,,"A term used in Singapore to address an older woman or one who appears to be of a similar age or generation to one's own parents. It is used as a sign of respect, similar to 'ma'am' or 'madam'. Additionally, it can also refer to women who work as assistants in a coffee shop or hawker center.","1. Excuse me, auntie, do you know where the nearest MRT station is?
2. Auntie, can I order a cup of kopi siu dai?",,,N,,English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ay-jay,"Sure, here's the dictionary entry for ""ay-jay"":\n\nAy-jay (noun)\n\nPronunciation: /eh-jay/\n\nDefinition:\n\n1. Refers to the CPU (central processing unit) of a computer or similar electronic device.\n\n2. Can also be used to refer to the brain or mind of a person.\n\nExample:\n\n1. ""My ay-jay is overheating, I need to shut down my computer.""\n\n2. ""I can't remember where I put my keys, my ay-jay is failing me.""\n\nNote: ""Ay-jay"" is a commonly used Singlish term, derived from the initials ""AJ"" which stands for ""Artificial Intelligence"" or ""Arithmetic and Logic Unit"" (ALU).",No,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
ayam buah keluak,"Sure, here's the dictionary entry for ""ayam buah keluak"":\n\nAyam buah keluak (n.): a popular Peranakan dish that consists of chicken cooked with the nut of the kepayang tree (Pangium edule), which is known as buah keluak in Malay. The nut is soaked, pounded, and sometimes mixed with spices to make a thick paste that is used to flavor the dish. It is commonly served with rice.\n\nPronunciation: /ɑːyəm bʊɑː kəˈluːak/\n\nNote: In Singapore and Malaysia, ""ayam"" refers to chicken, and ""buah keluak"" may also be spelled as ""buah keluwek"" or ""keluwak"".",Yes,,"A popular Peranakan dish that consists of chicken cooked with the nut of the kepayang tree (Pangium edule), which is known as buah keluak in Malay. The nut is soaked, pounded, and sometimes mixed with spices to make a thick paste that is used to flavor the dish. It is commonly served with rice. Note: In Singapore and Malaysia, ""ayam"" refers to chicken, and ""buah keluak"" may also be spelled as ""buah keluwek"" or ""keluwak"".",,,,N,"""AjAm bu""A k@lu""Ak",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ayam penyet,"ayam penyet (noun): a Javanese dish consisting of a flattened and deep-fried chicken served with sambal, sliced cucumbers, fried tofu, and rice.\n\nExample usage:\n""I always crave for ayam penyet whenever I miss Indonesian food.""\n\nPronunciation: ah-yam pen-yet",Yes,,"A Javanese dish consisting of a flattened and deep-fried chicken served with sambal, sliced cucumbers, fried tofu, and rice.",1. I always crave for ayam penyet whenever I miss Indonesian food.,,,N,"""AjAm pEnj""Et",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ayam percik,"Sure, here's the definition of ""ayam percik"":\n\nAyam percik (a-yam per-chik) is a popular Malay grilled chicken dish that is marinated in a flavorful blend of spices and coconut milk before being grilled over an open flame. The dish is typically served with a creamy, slightly sweet peanut sauce and steamed rice.\n\nThe word ""ayam"" means chicken in Malay, while ""percik"" can be roughly translated as splash or drizzle. It is likely named as such due to the way the marinade is splashed or drizzled onto the chicken during the grilling process, giving it a smoky, charred flavor.\n\nOverall, ayam percik is a beloved dish in Malaysia and can often be found at street food vendors and night markets. It is a must-try for those visiting the country or looking to experience a taste of authentic Malay cuisine.",Yes,,"Ayam percik is a popular Malay grilled chicken dish that is marinated in a flavorful blend of spices and coconut milk before being grilled over an open flame. The dish is typically served with a creamy, slightly sweet peanut sauce and steamed rice. The word ""ayam"" means chicken in Malay, while ""percik"" can be roughly translated as splash or drizzle. It is likely named as such due to the way the marinade is splashed or drizzled onto the chicken during the grilling process, giving it a smoky, charred flavor. Overall, ayam percik is a beloved dish in Malaysia and can often be found at street food vendors and night markets. It is a must-try for those visiting the country or looking to experience a taste of authentic Malay cuisine.",,,,N,"""AjAm p""3tSIk",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ayam sio,"Sure, here's the dictionary entry for ""ayam sio"":\n\nAyam sio (noun): A popular Peranakan dish of braised chicken in a sweet and tangy sauce made with tamarind, shallots, and other spices.\n\nExample usage: ""Let's order some ayam sio and nasi lemak for dinner tonight.""\n\nPronunciation: ah-yum see-oh\n\nNote: ""Ayam"" means chicken in Malay, while ""sio"" comes from the Hokkien dialect and refers to the process of braising in a sweet and sour sauce.",Mostly - ety/pron error,"Ayam sio (noun): A popular Peranakan dish of braised chicken in a sweet and tangy sauce made with tamarind, shallots, and other spices.\n\nExample usage: ""Let's order some ayam sio and nasi lemak for dinner tonight.""\n\nPronunciation: ah-yum see-oh\n\nNote: ""Ayam"" means chicken in Malay, while ""sio"" comes from the Hokkien dialect.","A popular Peranakan dish of braised chicken in a sweet and tangy sauce made with tamarind, shallots, and other spices. Note: ""Ayam"" means chicken in Malay, while ""sio"" comes from the Hokkien dialect.",1. Let's order some ayam sio and nasi lemak for dinner tonight.,,,N,"""AjAm si""@U",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
AYE,"Word: Aye (alternatively spelled as 'aiya')\n\nPronunciation: /aɪ/\n\nMeaning:\n1. Interjection: An expression used to convey agreement, affirmation, or consent. It is commonly used in Singaporean English as a colloquial and informal way of saying ""yes"". \n\n2. Interjection: An exclamation of mild frustration, disappointment, or resignation. It is commonly used to express annoyance or irritation towards a situation.\n\n3. Noun: A shortened form of ""Asia Pacific Economic Cooperation"", an international forum that promotes economic cooperation among countries in the Asia-Pacific region.\n\nExamples:\n1. ""Hey, wanna grab dinner tonight?"" - ""Aye, sure! Where should we go?""\n\n2. ""Aye, I forgot to bring my umbrella again. Now it's pouring outside!""\n\n3. ""The leaders of various countries attended the Aye Summit last month.""\n\nNote: The word 'aye' is often pronounced with a rising tone, emphasizing the 'a' sound. The alternative spelling 'aiya' is sometimes used to convey frustration or exasperation with a slightly different nuance.",No,,Abbreviation of Ayer Raja Expressway. (Wiktionary),Going by AYE is the fastest way to get to the college.,,,N,eI waI i:,,CC BY-SA 4.0,Wiktionary,FALSE
babi pongteh,"Sure, I'd be happy to help you with that!\n\nbabi pongteh / ba-bee pon-tay / \n\nDefinition: A popular Peranakan (Straits-Chinese) dish made from pork belly cooked in a thick, mildly sweet and savory sauce made with taucheo (salted soybean paste), fermented soybean, garlic, shallots, and spices such as star anise and cinnamon. The term ""babi"" means ""pork"" in Malay, while ""pongteh"" comes from the Hokkien dialect which means ""braised"".\n\nExample: My grandmother's babi pongteh is absolutely delicious. I could eat it every day!\n\nNote: Babi pongteh typically includes hard-boiled eggs, bamboo shoots, and mushrooms, and is often served with steamed rice. It is a comforting and hearty dish that is perfect for cooling weather.",Mostly - ety/pron error,"babi pongteh / ba-bee pong-tay / \n\nDefinition: A popular Peranakan (Straits-Chinese) dish made from pork belly cooked in a thick, mildly sweet and savory sauce made with taucheo (salted soybean paste), fermented soybean, garlic, shallots, and spices such as star anise and cinnamon. The term ""babi"" means ""pork"" in Malay, while ""pongteh"" comes from the Hokkien dialect which means ""braised"".\n\nExample: My grandmother's babi pongteh is absolutely delicious. I could eat it every day!\n\nNote: Babi pongteh typically mushrooms, and is often served with steamed rice. It is a comforting and hearty dish.","A popular Peranakan (Straits-Chinese) dish made from pork belly cooked in a thick, mildly sweet and savory sauce made with taucheo (salted soybean paste), fermented soybean, garlic, shallots, and spices such as star anise and cinnamon. The term ""babi"" means ""pork"" in Malay, while ""pongteh"" comes from the Hokkien dialect which means ""braised"". Note: Babi pongteh typically mushrooms, and is often served with steamed rice. It is a comforting and hearty dish.",1. My grandmother's babi pongteh is absolutely delicious. I could eat it every day!,,,N,"b""Abi p""QNteI",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bag of balls,"Sure, here is the dictionary entry for ""bag of balls"":\n\nBag of Balls (noun): Used to describe a situation, idea, or proposal that is considered to be utter nonsense or lacking in substance.\n\nExample: ""I can't believe he expects us to work overtime without any compensation, that's a real bag of balls.""\n\nPronunciation: /bæɡ əv bɒlz/\n\nNote: This phrase is considered to be informal and may be seen as offensive in certain contexts. It is recommended to use it with caution.",No,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
Bai-bai,"Word: Bai-bai\n\nPronunciation: bye-bye (bahy-bahy)\n\nAlternate Spellings: Bye-bye, Bai bai, Bye bye\n\nDefinition:\n1. (Interjection) Used to bid farewell or take leave, derived from the English phrase ""bye-bye."" It is commonly used in Singlish as a more informal, casual way of saying goodbye to someone.\n\nExample:\n- A: ""I have to go now, see you later!""\n- B: ""Bai-bai! Take care!""\n\nNotes:\nThe term 'bai-bai' retains the same meaning and usage as its English equivalent 'bye-bye,' but it is often employed within the context of Singlish conversation to add a local touch. It is commonly used among friends, family members, or acquaintances in informal settings, and conveys a sense of warmth and familiarity.",Yes,,to pray,"1. Today after school, I need to go to temple bai-bai.",bai bai,,V,baI baI,Mandarin,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
Baju,"Entry: Baju (noun)\n\nPronunciation: bah-joo\n\nAlternate spellings: Bajoo, bajou, bajew\n\nDefinition:\nBaju is a Malay loanword commonly used in Singlish to refer to a piece of clothing, specifically a traditional Malay or Indonesian garment. It typically refers to a loose-fitting shirt or blouse worn by both men and women, often with long sleeves and a collar. The term 'baju' is used to describe various traditional attire such as the baju kurung, baju melayu, or baju kebaya. In Singlish, it is also occasionally used to describe any casual or loose-fitting top.\n\nExample sentences:\n1. ""Eh, I love your baju kebaya. It looks so elegant!""\n2. ""Cannot find my baju to wear for the party. I think I need to do laundry lah.""\n\nNote: Baju is one of many borrowed Malay words that have been incorporated into the Singaporean English vocabulary, reflecting the multicultural and multilingual nature of Singapore society.",Yes,,Clothes,1. Have you bought your Raya baju?,,,N,bAdZu,Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
bak,"Sure, here's the dictionary entry for 'bak':\n\nBak (pronounced like ""buck"")\n- noun\n1. A popular Hokkien word used in Singlish to refer to the back part of a person's body, particularly their buttocks or butt. \nExample: ""My bak is aching from sitting down for too long.""\n\n2. A slang term used to describe someone who is lazy or not hardworking. \nExample: ""He didn't do any work today, such a bak person.""\n\n3. A verb meaning to strike or hit someone on their backside. \nExample: ""If you don't behave, I will bak you.""\n\nNote: This term is considered informal and may not be appropriate in all settings.",No,"Bak (pronounced like ""buck"" with a stop at the end)\n- noun\n1. A popular Hokkien word for meat used in Singlish.",A popular Hokkien word for meat used in Singlish.,I'm vegetarian today. Do you think I can just order bak chor mee with no bak?,,,N,,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bak chang,"Bak Chang is a Hokkien term used in Singapore to refer to a type of Chinese rice dumpling that is typically made with glutinous rice and filled with savory ingredients such as pork, mushrooms, and chestnuts. The dumpling is then wrapped in bamboo leaves and steamed until fully cooked. \n\nThe word ""bak chang"" is pronounced as ""bah chang"" with the emphasis on the first syllable. \n\nExample sentence: ""I can't wait to eat some hot and delicious bak chang during the Dragon Boat Festival.""",Yes,,"Bak Chang is a Hokkien term used in Singapore to refer to a type of Chinese rice dumpling that is typically made with glutinous rice and filled with savory ingredients such as pork, mushrooms, and chestnuts. The dumpling is then wrapped in bamboo leaves and steamed until fully cooked. The word ""bak chang"" is pronounced as ""bah chang"" with the emphasis on the first syllable.",1. I can't wait to eat some hot and delicious bak chang during the Dragon Boat Festival.,,,N,"b""Ak t`s`""AN
b""A ts""AN",Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bak chor mee,"Sure, here's a dictionary entry for 'bak chor mee':\n\nBak chor mee: (pronounced ""bahk choh mee"") a popular Singaporean dish of noodles served in a savory broth, typically made with minced pork, mushrooms, and vinegar. The noodles used can vary, but are commonly thin yellow noodles (mee pok) or thick white noodles (mee kia). The dish may also include ingredients such as sliced pork, fishballs, and fried lard. 'Bak chor mee' can be translated literally as 'minced pork noodles'. It is a staple dish of Singaporean hawker centers and can be found in many food courts and restaurants across the island.",Partial - other errors,"Sure, here's a dictionary entry for 'bak chor mee':\n\nBak chor mee: (pronounced ""bahk choh mee"") a popular Singaporean dish of noodles served in a savory broth, typically made with minced pork, mushrooms, and vinegar. The noodles used can vary, but are commonly flat yellow noodles (mee pok) or thin yellow noodles (mee kia). The dish may also include ingredients such as sliced pork, fishballs, and fried lard. 'Bak chor mee' can be translated literally as 'minced pork noodles'. It is a staple dish of Singaporean hawker centers and can be found in many food courts and restaurants across the island.","A popular Singaporean dish of noodles served in a savory broth, typically made with minced pork, mushrooms, and vinegar. The noodles used can vary, but are commonly flat yellow noodles (mee pok) or thin yellow noodles (mee kia). The dish may also include ingredients such as sliced pork, fishballs, and fried lard. 'Bak chor mee' can be translated literally as 'minced pork noodles'. It is a staple dish of Singaporean hawker centers and can be found in many food courts and restaurants across the island.",,,,N,"b""Ak tS""Q m""i
b""Ak ts h""Q m""i",Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
Bak ku teh,"Dictionary Entry: Bak Ku Teh\n\nWord: Bak Ku Teh / Bah Ku Teh\nPronunciation: /bah-koo-teh/\n\nAlternative Spellings: Bah Kut Teh\n\nDefinition:\nBak Ku Teh, also known as Bah Ku Teh, is a popular dish in Singaporean and Malaysian cuisine. The term ""Bak Ku Teh"" roughly translates to ""meat bone tea"" in English. It is a flavorful and aromatic soup that consists of pork ribs simmered in a mix of herbs, spices, and various medicinal ingredients. The dish is often served with a side of rice or noodles.\n\nUsage:\n1. ""Let's go for a hearty bowl of Bak Ku Teh for lunch.""\n2. ""Where can I find the best Bak Ku Teh in town?""\n\nOrigin:\nBak Ku Teh has its origins in the Hokkien dialect, spoken by the Chinese community in Singapore and Malaysia. ""Bak"" refers to meat, ""Ku"" means bone, and ""Teh"" refers to tea. The name implies that the soup is brewed like tea and contains various meat and bone components, which infuse the broth with a rich and complex flavor.\n\nCultural Significance:\nBak Ku Teh has become a beloved dish in Singapore and Malaysia, with numerous stalls, eateries, and restaurants specializing in its preparation. It is often enjoyed as a comforting meal, especially during cooler months. The dish is renowned for its herbal infusion, tender pork ribs, and the harmony of flavors produced when the spiced broth is paired with side dishes like braised tofu, mushrooms, and vegetables.\n\nNote:\nDue to its popularity, Bak Ku Teh is also sometimes known as ""Hainanese Bak Ku Teh"" or ""Teochew Bak Ku Teh,"" as different dialect groups have added their own variations to the recipe over time.",Redirect to,,see 'bak kut teh',,,,,,,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,TRUE
bak kua,"Bak Kua (pronounced ""bah-koo-ah"") is a popular Chinese salty-sweet dried meat snack. It is made from thin slices of marinated pork and is typically barbecued or grilled until it is slightly charred with a caramelised layer on top. Bak Kwa is commonly eaten during Chinese New Year as a festive snack and is also enjoyed year-round as a meaty treat. \n\nExample usage: ""I always stock up on bak kua during Chinese New Year because it's my favourite snack!""\n\nNote: Singlish is a colloquial form of English that is commonly spoken in Singapore, incorporating slang words and phrases from various languages spoken in the country.",Yes,,Redirect to bak kwa,,,,N,,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bak kut teh,"Sure, I'm happy to help you create a dictionary entry for ""bak kut teh""!\n\n""Bak kut teh"" is a popular soup dish that originates from Hokkien-speaking communities in Singapore and Malaysia. The dish consists of pork ribs simmered in a flavorful broth made with a mixture of various herbs and spices, including garlic, star anise, cinnamon, and pepper. The broth is typically dark in color and has a slightly sweet, savory taste. The dish is usually served with a side of rice and often paired with a hot tea or Chinese tea.\n\nThe proper pronunciation of ""bak kut teh"" in Singlish would sound like ""bahk kut teh"" with the emphasis on the first syllable (""bahk""). The ""kut"" sound is a short and sharp sound, similar to the word ""cut"". The ""teh"" sound is pronounced like ""tay"" but with a shorter vowel sound.\n\nI hope this helps! Let me know if you need any more assistance with your Singlish dictionary.",Partial - other errors,"""Bak kut teh"" is a popular soup dish that originates from Hokkien-speaking communities in Singapore and Malaysia. The dish consists of pork ribs simmered in a flavorful broth made with a mixture of various herbs and spices, including garlic, star anise, cinnamon, and pepper. The broth is typically dark in color and has a savory taste. The dish is usually served with a side of rice and often paired Chinese tea.\n\nThe ""a"" in ""bak"" is the same as the ""a"" in ""father"", the ""kut"" sound rhymes with the word ""put"". The ""teh"" sound is pronounced like ""tay"" but with a shorter vowel sound.","""Bak kut teh"" is a popular soup dish that originates from Hokkien-speaking communities in Singapore and Malaysia. The dish consists of pork ribs simmered in a flavorful broth made with a mixture of various herbs and spices, including garlic, star anise, cinnamon, and pepper. The broth is typically dark in color and has a savory taste. The dish is usually served with a side of rice and often paired Chinese tea. The ""a"" in ""bak"" is the same as the ""a"" in ""father"", the ""kut"" sound rhymes with the word ""put"". The ""teh"" sound is pronounced like ""tay"" but with a shorter vowel sound.",,,,N,bAk kut teI,Hokkien,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bak kwa,"Sure, here's an entry for 'bak kwa':\n\nbak kwa [bahk-kwah] (noun): a type of dried meat commonly consumed as a snack during Chinese New Year, made from marinated pork that is grilled over charcoal until caramelized and crispy.\n\nExample: ""My mom always buys a few packs of bak kwa to share with relatives during the Chinese New Year festivities.""\n\nPronunciation note: ""Bak"" is pronounced with a short 'a' sound (like the 'a' in badge) followed by a 'k' sound with a slight aspiration, similar to the 'k' in ""kite"". ""Kwa"" is pronounced with a short 'u' sound (like the 'u' in ""put"") followed by a slightly aspirated 'w' sound. When pronounced together, ""bak kwa"" has two distinct syllables with equal emphasis on each.\n\nI hope that helps!",Redirect to,see bak kua,Bak Kwa is a popular Chinese salty-sweet dried meat snack. It is made from thin slices of marinated pork and is typically barbecued or grilled until it is slightly charred with a caramelised layer on top. Bak Kwa is commonly eaten during Chinese New Year as a festive snack and is also enjoyed year-round as a meaty treat. ,"1. I always stock up on bak kwa during Chinese New Year because it's my favourite snack!
",,,,"b""Ak ku""A
b""Ak gu""A",,,http://www.mysmu.edu/faculty/jacklee/,TRUE
bakwan kepiting,"Definition: Bakwan kepiting is a popular Indonesian-style crab meatball soup dish that is commonly found in Singapore. The dish consists of tender meatballs made from minced pork and crab meat, served in a clear broth flavored with garlic, pepper, and other spices. Bakwan kepiting is often garnished with sliced scallions, fried shallots, and fried garlic.\n\nPronunciation: bah-kwahn keh-peh-ting\n\nExample:\nI love to order a bowl of bakwan kepiting whenever I go to a hawker center in Singapore, especially on a rainy day.",Yes,,"Bakwan kepiting is a popular Indonesian-style crab meatball soup dish that is commonly found in Singapore. The dish consists of tender meatballs made from minced pork and crab meat, served in a clear broth flavored with garlic, pepper, and other spices. Bakwan kepiting is often garnished with sliced scallions, fried shallots, and fried garlic.","1. I love to order a bowl of bakwan kepiting whenever I go to a hawker center in Singapore, especially on a rainy day.",,,N,bAkuAn k@pitIN,Malay/Indonesian,,http://www.mysmu.edu/faculty/jacklee/,FALSE
balek,"Sure, here's the dictionary entry for ""balek"":\n\nBalek (verb) /bɑː.lɛk/\n\nDefinition: To return (to a place or activity) after briefly leaving or a temporary absence. \n\nExample: ""I need to balek home to take my medication before going out again.""\n\nUsage notes:\nThe term ""balek"" is commonly used in Singaporean English as a loanword from Malay language. It is most commonly used as an alternative to the standard English word ""return"", especially in spoken conversation. The pronunciation may vary slightly among different speakers, with some pronouncing it as ""bah-lek"" or ""baa-lek"".",Yes,"\n\nBalik (verb) /bɑː.lɛk/\n\nDefinition: To return (to a place or activity) after briefly leaving or a temporary absence. \n\nExample: ""I need to balik home to take my medication before going out again.""\n\nUsage notes:\nThe term ""balik"" is commonly used in Singaporean English as a loanword from Malay language. It is most commonly used as an alternative to the standard English word ""return"", especially in spoken conversation. The pronunciation may vary slightly among different speakers, with some pronouncing it as ""bah-lek"". Also spellt 'balek'","To return (to a place or activity) after briefly leaving or a temporary absence. The term ""balik"" is commonly used in Singaporean English as a loanword from Malay language. It is most commonly used as an alternative to the standard English word ""return"", especially in spoken conversation. The pronunciation may vary slightly among different speakers, with some pronouncing it as ""bah-lek"". Also spellt 'balek'",1. I need to balik home to take my medication before going out again.,,,V,"bAlIk
bAleIk",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
